Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,74.0,13351.16,10.0,176.0
2025-11-28,80.0,31098.0,5.0,427.0
2025-12-01,70.0,110050.76,-9.0,1587.0
2025-12-02,70.0,10421.9,0.0,147.0
2025-12-03,80.0,16748.1,10.0,214.0
2025-12-04,85.0,9310.84,5.0,108.0
2025-12-06,88.0,27493.22,8.0,317.0
2025-12-09,94.0,26377.6,6.0,292.0
2025-12-10,89.49,8837.77,-251.0,98.0
2025-12-11,92.0,12092.45,0.0,133.0
2025-12-13,92.0,4996.0,0.0,58.0
2025-12-15,92.0,18898.0,0.0,206.0
2025-12-16,98.0,21343.34,6.0,215.0
2025-12-17,99.0,18668.07,1.0,193.0
2025-12-18,100.0,18872.05,1.0,191.0
2025-12-19,98.0,50183.44,-1.0,514.0
2025-12-22,98.0,5540.23,0.0,52.0
2025-12-23,100.0,6835.9,2.0,76.0
2025-12-29,88.11,36048.5,-989.0,325.0
2025-12-30,135.0,26809.0,18.0,219.0
2026-01-02,148.9,15257.95,239.0,112.0
2026-01-06,172.0,204336.0,42.0,1288.0
2026-01-07,172.0,2060.0,0,10
