Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,221.0,85219.2,-99.0,384.0
2025-11-28,216.99,122102.47,-301.0,576.0
2025-12-01,225.0,30141.81,801.0,141.0
2025-12-02,240.0,8189.76,15.0,32.0
2025-12-03,191.0,31932.85,-34.0,150.0
2025-12-04,223.0,78855.0,0.0,361.0
2025-12-06,219.99,89265.7,-301.0,417.0
2025-12-09,218.0,199589.7,-199.0,917.0
2025-12-10,217.9,25340.06,-1.0,119.0
2025-12-11,215.0,53768.4,-29.0,276.0
2025-12-13,215.0,38725.0,0.0,180.0
2025-12-15,210.0,111814.48,-5.0,527.0
2025-12-16,220.5,60541.09,105.0,278.0
2025-12-17,220.89,24077.48,39.0,109.0
2025-12-18,220.89,25623.24,0.0,116.0
2025-12-19,235.0,592728.48,1411.0,2687.0
2025-12-22,250.0,397170.0,21.0,1734.0
2025-12-23,250.0,466313.9,0.0,2370.0
2025-12-26,249.0,4966408.92,0.0,2370.0
2025-12-29,290.0,503050.0,41.0,1919.0
2025-12-30,314.99,3827529.38,2499.0,16062.0
2026-01-02,335.0,38434.6,0.0,125.0
2026-01-06,401.0,855549.5,51.0,2330.0
2026-01-07,360.0,41290.2,0,103
